metric,value
test_id,baseline-stress-dryrun
label,stress
avg_throughput_rps,0.0
avg_error_rate_percent,0.0
avg_p50_ms,0.0
avg_p95_ms,0.0
avg_p99_ms,0.0
max_vus,0
max_web_restart_total,3.0
max_jobs_restart_total,0.0
