timestamp,web_ready_replicas,web_available_replicas,web_spec_replicas,jobs_ready_replicas,jobs_available_replicas,jobs_spec_replicas,web_hpa_current_replicas,web_hpa_desired_replicas,jobs_hpa_current_replicas,jobs_hpa_desired_replicas,web_restart_total,jobs_restart_total
2026-04-02T18:09:50+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:09:57+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:10:03+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:10:09+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:10:15+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:10:21+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:10:27+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:10:33+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:10:39+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:10:45+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:10:51+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:10:57+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:11:03+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:11:09+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:11:16+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:11:22+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:11:28+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:11:34+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:11:40+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:11:47+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:11:53+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:11:59+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:12:06+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:12:12+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:12:18+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:12:24+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:12:30+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:12:36+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:12:42+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:12:48+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:12:54+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:13:00+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:13:06+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:13:13+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:13:19+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:13:25+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:13:31+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:13:37+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:13:43+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:13:49+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:13:56+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:14:02+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:14:08+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:14:14+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:14:20+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:14:27+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:14:33+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:14:39+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:14:46+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:14:52+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:14:58+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:15:04+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:15:11+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:15:17+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:15:24+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:15:30+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:15:36+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:15:42+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:15:48+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:15:54+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T18:16:00+00:00,1,1,1,0,0,0,0,0,0,0,3,0
