timestamp,web_ready_replicas,web_available_replicas,web_spec_replicas,jobs_ready_replicas,jobs_available_replicas,jobs_spec_replicas,web_hpa_current_replicas,web_hpa_desired_replicas,jobs_hpa_current_replicas,jobs_hpa_desired_replicas,web_restart_total,jobs_restart_total
2026-04-02T16:53:54+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:54:00+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:54:06+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:54:12+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:54:18+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:54:24+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:54:30+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:54:36+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:54:42+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:54:48+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:54:54+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:55:00+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:55:06+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:55:12+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:55:18+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:55:24+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:55:30+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:55:37+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:55:43+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:55:49+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:55:55+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:56:01+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:56:07+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:56:14+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:56:20+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:56:27+00:00,1,1,1,0,0,0,0,0,0,0,3,0
2026-04-02T16:56:33+00:00,1,1,1,0,0,0,0,0,0,0,3,0
